交易日期	收入	支出	账户余额	摘要	收支项目
20180425		31578.9		工资及劳务费	工资及奖金
20180425		8922.2		工资及劳务费	工资及奖金
20180425		4004.9		工资及劳务费	工资及奖金
20180425		3353.6		工资及劳务费	工资及奖金
20180425		12953.09		费用报销	费用
20180425		296		费用报销	费用
20180425		1453		费用报销	费用
20180425	180000			借款	往来
20180426		400000		入资款	对外投资
20180427		10.5		银行手续费	费用
20180510		4005.07		个税	个人所得税
20180525		8922.2		工资	工资及奖金
20180525		4004.9		工资	工资及奖金
20180525	43000			服务费	销售收入
20180530		3353.6		工资及劳务费	工资及奖金
20180531		5100		费用报销	费用
20180531		471		费用报销	费用
20180531		6020		费用报销	费用
20180611		3505.07		个税	个人所得税
20180617	500000			入资款	实收资本
20180619		500000		入资款	对外投资
20180620		10.5		银行手续费	费用
20180621	184.36			利息	其他收入
20180625		8922.2		工资	工资及奖金
20180625		4004.9		工资	工资及奖金
20180626		3353.6		工资及劳务费	工资及奖金
20180627	131592.9			货款	销售收入
20180703		990		宽带网费	费用
20180710		9313.32		个税	个人所得税
20180710		8977.5		费用报销	费用
20180725		6254.1		费用报销	费用
20180725		593.47		费用报销	费用
20180725		6182		费用报销	费用
20180725		8922.2		工资及劳务费	工资及奖金
20180725		4004.9		工资及劳务费	工资及奖金
20180725		2951.2		工资及劳务费	工资及奖金
20180801		3073.15		物业管理费	费用
20180806	1000000			入资款	实收资本
20180806		8338.68		个税	个人所得税
20180806		50000		法律顾问费	费用
20180814		500000		入资款	对外投资
20180815		10.5		银行手续费	费用
20180824		8855		工资	工资及奖金
20180824		3906.82		工资	工资及奖金
20180824		23995.55		工资	工资及奖金
20180824		4625.5		费用报销	费用
20180824		1478.5		费用报销	费用
20180903		1419.18		个税	个人所得税
20180903		5107.28		个税	个人所得税
20180917	800000			入资款	实收资本
20180921	305.43			利息	其他收入
20180921	500000			入资款	实收资本
20180921	5000000			往来	往来
20180925		8228.48		费用报销	费用
20180925		278.9		费用报销	费用
20180925		400		费用报销	费用
20180925		8921		费用报销	费用
20180925		400		费用报销	费用
20180925		14087.75		工资	工资及奖金
20180925		8855		工资	工资及奖金
20180925		4508.22		工资	工资及奖金
20180925		14245.55		工资	工资及奖金
20180925		500000		入资款	对外投资
20180926		10.5		银行手续费	费用
20180928		1000000		退款	往来
20180928		2000000		退款	往来
20180928		2000000		退款	往来
20180928	5000000			入资款	实收资本
20180928	5000000			入资款	实收资本
20180929		70		银行手续费	费用
20181008		1500000		入资款	对外投资
20181009		21		银行手续费	费用
20180618		160000		蔬菜货款	采购成本
20181011		10.5		银行手续费	费用
20181015		4792.28		个税	个人所得税
20181022		25		银行手续费	费用
20181022		10		银行手续费	费用
20181025		4137		费用报销	费用
20181025		647.9		费用报销	费用
20181025		2942.25		费用报销	费用
20181026		7		银行手续费	费用
20181029		420		费用报销	费用
20181029		420		费用报销	费用
20181029		420		费用报销	费用
20181029		14087.75		工资	工资及奖金
20181029		9155		工资	工资及奖金
20181029		4523.22		工资	工资及奖金
20181029		14245.55		工资	工资及奖金
20181030		400000		退回入资款	往来
20181031		10.5		银行手续费	费用
20181101		3960		商标申请代理服务费	费用
20181101		400000		品牌设计2018年年度顾问费	费用
20181102		10.5		银行手续费	费用
20181102		7339.17		个税	个人所得税
20181102		5000		备用金	提现
20181105		3302.5		费用报销	费用
20181126		33667.75		工资	工资及奖金
20181126		9110		工资	工资及奖金
20181126		4538.22		工资	工资及奖金
20181126		15548.66		工资	工资及奖金
20181126		339		办公室窗帘费	费用
20181126		420		费用报销	费用
20181126		10068		费用报销	费用
20181126		939.6		费用报销	费用
20181126		16180.04		费用报销	费用
20181204		5237.99		个税	个人所得税
20181204		575		印花税	其他税费
20181206		150		费用报销	费用
20181211	800			支付代垫搬运费	往来
20181218		1000		会员年费	费用
20181221	6679.52			利息	其他收入
20181225		8588.24		费用报销	费用
20181225		1938.9		费用报销	费用
20181225		3193		费用报销	费用
20181225		27817.75		工资	工资及奖金
20181225		9260		工资	工资及奖金
20181225		4959.4		工资	工资及奖金
20181225		15548.66		工资	工资及奖金
20181225		14087.75		补发4-7月工资	工资及奖金
20181225		31578.9		补发4-7月工资	工资及奖金
20181227		3840		费用报销	费用
20180104		50		网上银行服务费	费用
20180106		5819.12		#北京社保	社保
20180115		5976		92102：住房公积金	住房公积金
20180204		50		网上银行服务费	费用
20180205		5819.12		#北京社保	社保
20180222		5976		92102：住房公积金	住房公积金
20180304		50		网上银行服务费	费用
20180305		5819.12		#北京社保	社保
20180315		5976		92102：住房公积金	住房公积金
20180321	103.1			活期结算户结息103.10扣税:.00	其他收入
20180404		50		网上银行服务费	费用
20180405		5819.12		#北京社保	社保
20180416		5976		92102：住房公积金	住房公积金
20180504		50		网上银行服务费	费用
20180505		5819.12		#北京社保	社保
20180515		5976		委托收款	住房公积金
20180604		50		网上银行服务费	费用
20180605		5819.12		#北京社保	社保
20180615		5976		委托收款	住房公积金
20180621	77.64			活期结算户结息77.64扣税:.00	其他收入
20180704		50		网上银行服务费	费用
20180705		7862.12		#北京社保	社保
20180716		6216		委托收款	住房公积金
20180804		50		网上银行服务费	费用
20180805		8126.4		#北京社保	社保
20180815		6216		委托收款	住房公积金
20180904		50		网上银行服务费	费用
20180905		8126.4		#北京社保	社保
20180917		6216		委托收款	住房公积金
20180921	47.7			活期结算户结息47.70扣税:.00	其他收入
20181004		50		网上银行服务费	费用
20181011		8126.4		#北京社保	社保
20181015		6216		委托收款	住房公积金
20181104		50		网上银行服务费	费用
20181105		8126.4		#北京社保	社保
20181115		6216		委托收款	住房公积金
20181204		50		网上银行服务费	费用
20181206		8126.4		#北京社保	社保
20181217		6216		委托收款	住房公积金
20181221	62.5			活期结算户结息62.50扣税:.00	其他收入
20181225		200		转账	往来
